    Value  Size Type    Bind   Vis      Ndx Name
 00102b18    28 OBJECT  GLOBAL DEFAULT    1 I2C_TIMING_REG_BACKUP
 00102b34     4 OBJECT  LOCAL  DEFAULT    1 mode.5153
 00102b38     4 OBJECT  LOCAL  DEFAULT    1 bldr_param
 00102b3c     8 OBJECT  LOCAL  DEFAULT    1 g_addr_trans_tbl
 00102b48     8 OBJECT  GLOBAL DEFAULT    1 g_emmc_user_size
 00102b50     8 OBJECT  GLOBAL DEFAULT    1 g_emmc_size
 00102b58    40 OBJECT  LOCAL  DEFAULT    1 g_mmc_bdev
 00102b80   144 OBJECT  LOCAL  DEFAULT    1 g_emmc_addr_trans
 00102c10   732 OBJECT  LOCAL  DEFAULT    1 sd_card
 00102ef0   128 OBJECT  LOCAL  DEFAULT    1 sd_host
 00102f70   144 OBJECT  LOCAL  DEFAULT    1 msdc_priv
 00103000    64 OBJECT  LOCAL  DEFAULT    1 msdc_bd_pool
 00103040    56 OBJECT  LOCAL  DEFAULT    1 msdc_gpd_pool
 00103078     4 OBJECT  GLOBAL DEFAULT    1 g_mt6311_driver_ready
 0010307c    76 OBJECT  LOCAL  DEFAULT    1 mt6311_i2c
 001030c8     4 OBJECT  GLOBAL DEFAULT    1 g_mt6311_cid
 001030cc     4 OBJECT  GLOBAL DEFAULT    1 g_mt6311_hw_exist
 001030d0    24 OBJECT  LOCAL  DEFAULT    1 ptp_devinfo
 001030e8     4 OBJECT  GLOBAL DEFAULT    1 vcore0
 001030ec     4 OBJECT  GLOBAL DEFAULT    1 vcore1
 001030f0     4 OBJECT  GLOBAL DEFAULT    1 vcore2
 001030f4     4 OBJECT  GLOBAL DEFAULT    1 have_550
 001030f8    80 OBJECT  LOCAL  DEFAULT    1 temmeta
 00103148    16 OBJECT  LOCAL  DEFAULT    1 tempart
 00103158     4 OBJECT  GLOBAL DEFAULT    1 g_boot_mode
 0010315c     4 OBJECT  GLOBAL DEFAULT    1 g_boot_time
 00103160     4 OBJECT  GLOBAL DEFAULT    1 g_kernel_boot_opt
 00103164     4 OBJECT  GLOBAL DEFAULT    1 kpoc_flag
 00103168     4 OBJECT  GLOBAL DEFAULT    1 g_smc_boot_opt
 0010316c  3072 OBJECT  GLOBAL DEFAULT    1 sys_stack
 00103d6c     4 OBJECT  GLOBAL DEFAULT    1 g_boot_reason
 00103d70     4 OBJECT  GLOBAL DEFAULT    1 g_dtb_size
 00103d74     4 OBJECT  GLOBAL DEFAULT    1 g_ddr_reserve_enable
 00103d78     4 OBJECT  GLOBAL DEFAULT    1 g_ddr_reserve_success
 00103d7c     4 OBJECT  GLOBAL DEFAULT    1 g_meta_com_type
 00103d80     4 OBJECT  GLOBAL DEFAULT    1 g_dtb_addr
 00103d84     4 OBJECT  GLOBAL DEFAULT    1 g_meta_com_id
 00103d88     4 OBJECT  GLOBAL DEFAULT    1 g_lk_boot_opt
 00103d8c     1 OBJECT  LOCAL  DEFAULT    1 vio18_cal
 00103d90   128 OBJECT  GLOBAL DEFAULT    1 efuse_data
 00103e10     4 OBJECT  GLOBAL DEFAULT    1 g_charger_in_flag
 00103e14     4 OBJECT  GLOBAL DEFAULT    1 g_ret
 00103e18     4 OBJECT  GLOBAL DEFAULT    1 g_first_check
 00103e1c     4 OBJECT  GLOBAL DEFAULT    1 log_end
 00103e20 20480 OBJECT  LOCAL  DEFAULT    1 log_sram_buf
 00108e20     4 OBJECT  GLOBAL DEFAULT    1 log_hdr
 00108e24     4 OBJECT  GLOBAL DEFAULT    1 log_ptr
 00108e28     4 OBJECT  LOCAL  DEFAULT    1 g_log_miss_chrs
 00108e2c     4 OBJECT  LOCAL  DEFAULT    1 g_log_disable
 00108e30     4 OBJECT  GLOBAL DEFAULT    1 ram_console
 00108e34     4 OBJECT  GLOBAL DEFAULT    1 rr_pl
 00108e38     4 OBJECT  LOCAL  DEFAULT    1 ram_console_size
 00108e3c     1 OBJECT  GLOBAL DEFAULT    1 b_is_ram_console_ready
 00108e3d     1 OBJECT  LOCAL  DEFAULT    1 g_rtc_2sec_stat
 00108e3e     1 OBJECT  LOCAL  DEFAULT    1 save_stat.4993
 00108e3f     1 OBJECT  LOCAL  DEFAULT    1 recovery_flag
 00108e40     4 OBJECT  GLOBAL DEFAULT    1 g_sec_cfg_exists
 00108e44    12 OBJECT  GLOBAL DEFAULT    1 sec_cfg_info
 00108e50   512 OBJECT  GLOBAL DEFAULT    1 g_SBC_PUBK
 00109050     4 OBJECT  GLOBAL DEFAULT    1 secroimg
 00109054     1 OBJECT  GLOBAL DEFAULT    1 bDumpPartInfo
 00109055     1 OBJECT  LOCAL  DEFAULT    1 bUsbHandshakeSuccess
 00109058     4 OBJECT  LOCAL  DEFAULT    1 timestamp
 0010905c     4 OBJECT  LOCAL  DEFAULT    1 lastinc
 00109060     4 OBJECT  LOCAL  DEFAULT    1 atf_log_buf_start
 00109064     4 OBJECT  LOCAL  DEFAULT    1 tee_entry_addr
 00109068     4 OBJECT  GLOBAL DEFAULT    1 set_address
 0010906c     4 OBJECT  LOCAL  DEFAULT    1 ep0_urb
 00109070     4 OBJECT  GLOBAL DEFAULT    1 g_usb_port_state
 00109074     4 OBJECT  LOCAL  DEFAULT    1 udc_device
 00109078     4 OBJECT  GLOBAL DEFAULT    1 ep0_state
 0010907c     4 OBJECT  GLOBAL DEFAULT    1 g_usbphy_ok
 00109080  1052 OBJECT  GLOBAL DEFAULT    1 mt6573_rx_urb
 0010949c    12 OBJECT  LOCAL  DEFAULT    1 mt_usb_config
 001094a8  1052 OBJECT  GLOBAL DEFAULT    1 mt6573_ep0_urb
 001098c4    28 OBJECT  LOCAL  DEFAULT    1 mt_usb_comm_alternate_int
 001098e0   112 OBJECT  LOCAL  DEFAULT    1 mt_usb_ep
 00109950     4 OBJECT  GLOBAL DEFAULT    1 usb_configured
 00109954     4 OBJECT  GLOBAL DEFAULT    1 usb_string_table
 00109958    24 OBJECT  LOCAL  DEFAULT    1 usb_output_buffer
 00109970    64 OBJECT  LOCAL  DEFAULT    1 commInterface
 001099b0    46 OBJECT  LOCAL  DEFAULT    1 dataInterface
 001099e0     8 OBJECT  LOCAL  DEFAULT    1 mt_usb_comm_interface
 001099e8  1052 OBJECT  GLOBAL DEFAULT    1 mt6573_tx_urb
 00109e04    40 OBJECT  LOCAL  DEFAULT    1 iserial
 00109e2c    24 OBJECT  LOCAL  DEFAULT    1 usb_input_buffer
 00109e44    40 OBJECT  LOCAL  DEFAULT    1 mt_usb_device
 00109e6c    28 OBJECT  LOCAL  DEFAULT    1 mt_usb_data_alternate_int
 00109e88    52 OBJECT  LOCAL  DEFAULT    1 configuration
 00109ebc    34 OBJECT  LOCAL  DEFAULT    1 product
 00109ede    18 OBJECT  LOCAL  DEFAULT    1 manufacturer
 00109ef0     4 OBJECT  GLOBAL DEFAULT    1 tool_exists
 00109ef4     8 OBJECT  LOCAL  DEFAULT    1 mt_usb_interface
 00109efc     8 OBJECT  LOCAL  DEFAULT    1 mt_usb_data_interface
 00109f04     4 OBJECT  LOCAL  DEFAULT    1 status.4693
 00109f08     4 OBJECT  GLOBAL DEFAULT    1 g_rgu_status
 00109f0c     4 OBJECT  LOCAL  DEFAULT    1 reboot_from
 00109f10     4 OBJECT  LOCAL  DEFAULT    1 rgu_mode
 00109f14     4 OBJECT  LOCAL  DEFAULT    1 timeout
 00109f18   256 OBJECT  GLOBAL DEFAULT    1 g_pubk
 0010a018     1 OBJECT  GLOBAL DEFAULT    1 g_pubk_initialized
 0010a01c     4 OBJECT  GLOBAL DEFAULT    1 g_cust
 0010a020     4 OBJECT  GLOBAL DEFAULT    1 g_sec_cfg
 0010a024    32 OBJECT  GLOBAL DEFAULT    1 g_cust_name
 0010a044     4 OBJECT  GLOBAL DEFAULT    1 heap_start_addr
 0010a048     4 OBJECT  GLOBAL DEFAULT    1 heap_max_size
 0010a04c     4 OBJECT  GLOBAL DEFAULT    1 heap_current_alloc
 0010a050     4 OBJECT  GLOBAL DEFAULT    1 g_gcpu_hw
 0010a054   168 OBJECT  LOCAL  DEFAULT    1 sej_ctx
 0010a0fc 20480 OBJECT  GLOBAL DEFAULT    2 g_sec_buf
 002011fc   960 OBJECT  GLOBAL DEFAULT    4 g_ROM_INFO
 002015c0   152 FUNC    GLOBAL DEFAULT    5 __udivsi3
 0020192d    36 FUNC    GLOBAL DEFAULT    5 blkdev_register
 00201951    28 FUNC    GLOBAL DEFAULT    5 blkdev_get
 0020196d   456 FUNC    GLOBAL DEFAULT    5 blkdev_read
 00201b35   504 FUNC    GLOBAL DEFAULT    5 blkdev_write
 00201d2d    76 FUNC    GLOBAL DEFAULT    5 buf_input_init
 00201d79    76 FUNC    GLOBAL DEFAULT    5 buf_output_init
 00201dc5    52 FUNC    GLOBAL DEFAULT    5 buf_pop
 00201df9    42 FUNC    GLOBAL DEFAULT    5 buf_push
 00201e25   568 FUNC    GLOBAL DEFAULT    5 clk_buf_all_on
 0020205d    48 FUNC    LOCAL  DEFAULT    5 uffs.part.0
 0020208d    56 FUNC    GLOBAL DEFAULT    5 tz_dapc_set_master_transa
 002020c5    22 FUNC    GLOBAL DEFAULT    5 tz_dapc_sec_init
 002020db     8 FUNC    GLOBAL DEFAULT    5 tz_dapc_sec_postinit
 002020e5   100 FUNC    GLOBAL DEFAULT    5 device_APC_dom_setup
 00202149    24 FUNC    GLOBAL DEFAULT    5 __div0
 00202161    36 FUNC    LOCAL  DEFAULT    5 usbdl_put_byte
 00202185    40 FUNC    LOCAL  DEFAULT    5 usbdl_put_word
 002021ad    52 FUNC    LOCAL  DEFAULT    5 usbdl_put_dword
 002021e1    48 FUNC    LOCAL  DEFAULT    5 usbdl_get_word
 00202211    64 FUNC    LOCAL  DEFAULT    5 usbdl_get_dword
 00202251   118 FUNC    LOCAL  DEFAULT    5 usbdl_read16
 002022c7   138 FUNC    LOCAL  DEFAULT    5 usbdl_write16
 00202351  1194 FUNC    GLOBAL DEFAULT    5 usbdl_handler
 002027fd    40 FUNC    GLOBAL DEFAULT    5 init_dram_buffer
 00202825   288 FUNC    GLOBAL DEFAULT    5 ta2_enable_write_read
 00202945   824 FUNC    GLOBAL DEFAULT    5 do_sw_rx_dq_dqs_calib
 00202c7d  1372 FUNC    GLOBAL DEFAULT    5 do_sw_tx_dq_dqs_calib
 002031d9   240 FUNC    GLOBAL DEFAULT    5 ta2_rx_scan
 002032c9   544 FUNC    GLOBAL DEFAULT    5 DramcRxdatlatCal
 002034e9  2100 FUNC    GLOBAL DEFAULT    5 dramc_calib
 00203d1d  1148 FUNC    GLOBAL DEFAULT    5 dramc_ta2
 00204199    68 FUNC    GLOBAL DEFAULT    5 ett_print_dqs_gw_before_e
 002041dd     2 FUNC    GLOBAL DEFAULT    5 ett_print_dqs_gw_after_ea
 002041df     2 FUNC    GLOBAL DEFAULT    5 ett_calc_dqs_gw_opt_value
 002041e1    48 FUNC    LOCAL  DEFAULT    5 nr_bit_set
 00204211    28 FUNC    LOCAL  DEFAULT    5 first_bit_set
 0020422d   164 FUNC    GLOBAL DEFAULT    5 dqsi_gw_dly_coarse_factor
 002042d1   128 FUNC    GLOBAL DEFAULT    5 dqsi_gw_dly_fine_factor_h
 00204351    40 FUNC    GLOBAL DEFAULT    5 dqs_print
 00204379   100 FUNC    GLOBAL DEFAULT    5 ett_print_dqs_gw_banner
 002043dd    44 FUNC    GLOBAL DEFAULT    5 ett_print_dqs_gw_before_s
 00204409    16 FUNC    GLOBAL DEFAULT    5 ett_print_dqs_gw_fine_aft
 00204419   164 FUNC    LOCAL  DEFAULT    5 __ett_print_dqs_gw_result
 002044bd    20 FUNC    LOCAL  DEFAULT    5 ett_print_dqs_gw_result_2
 002044d1    20 FUNC    LOCAL  DEFAULT    5 ett_print_dqs_gw_result_1
 002044e5   148 FUNC    GLOBAL DEFAULT    5 ett_recursive_factor_tuni
 00204579  1416 FUNC    LOCAL  DEFAULT    5 __do_dqs_gw_calib
 00204b01   164 FUNC    GLOBAL DEFAULT    5 dqsi_gw_dly_coarse_factor
 00204ba5   128 FUNC    GLOBAL DEFAULT    5 dqsi_gw_dly_fine_factor_h
 00204c25   348 FUNC    GLOBAL DEFAULT    5 Sequence_Read
 00204d81   120 FUNC    GLOBAL DEFAULT    5 Do_Read_Test_DDR3
 00204df9    92 FUNC    GLOBAL DEFAULT    5 Do_Read_Test_DDR2
 00204e55   384 FUNC    GLOBAL DEFAULT    5 cpu_read_test
 00204fd5    40 FUNC    GLOBAL DEFAULT    5 do_dqs_gw_calib_2
 00204ffd    96 FUNC    LOCAL  DEFAULT    5 init_crc32_table
 00205061   792 FUNC    LOCAL  DEFAULT    5 parse_gpt_header.constpro
 00205379   108 FUNC    GLOBAL DEFAULT    5 read_gpt
 002053e5  1992 FUNC    LOCAL  DEFAULT    5 init_lpddr3
 00205bad    92 FUNC    LOCAL  DEFAULT    5 mt_get_dram_type_for_dis
 00205c09   448 FUNC    GLOBAL DEFAULT    5 DRAM_MRR
 00205dc9   540 FUNC    GLOBAL DEFAULT    5 mblock_reserve
 00205fe5    78 FUNC    GLOBAL DEFAULT    5 setup_mblock_info
 00206035   156 FUNC    GLOBAL DEFAULT    5 check_dram_CONA_value
 002060d1    20 FUNC    GLOBAL DEFAULT    5 mt_set_DCM_clock
 002060e5     4 FUNC    GLOBAL DEFAULT    5 restore_DDR_regs
 002060e9    84 FUNC    GLOBAL DEFAULT    5 release_dram
 0020613d   116 FUNC    GLOBAL DEFAULT    5 check_ddr_reserve_status
 002061b1   396 FUNC    GLOBAL DEFAULT    5 ett_rextdn_sw_calibration
 0020633d   736 FUNC    LOCAL  DEFAULT    5 mt_get_mdl_number
 0020661d    96 FUNC    GLOBAL DEFAULT    5 mt_get_dram_type
 0020667d    68 FUNC    GLOBAL DEFAULT    5 get_dram_rank_nr
 002066c1   224 FUNC    GLOBAL DEFAULT    5 DFS_ability_detection
 002067a1    76 FUNC    GLOBAL DEFAULT    5 get_dram_rank_size
 002067ed   116 FUNC    GLOBAL DEFAULT    5 get_orig_dram_rank_info
 00206861   628 FUNC    GLOBAL DEFAULT    5 mt_set_emi
 00206ad5    52 FUNC    GLOBAL DEFAULT    5 fan5405_write_byte
 00206b09    80 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_dir_chip
 00206b59   144 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_pull_enable_c
 00206be9   216 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_pull_select_c
 00206cc1    80 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_out_chip
 00206d11    76 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_mode_chip
 00206d5d    10 FUNC    GLOBAL DEFAULT    5 mt_gpio_pin_decrypt
 00206d67    28 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_dir
 00206d83    28 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_pull_enable
 00206d9f    28 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_pull_select
 00206dbb    28 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_out
 00206dd7    28 FUNC    GLOBAL DEFAULT    5 mt_set_gpio_mode
 00206df3     2 FUNC    GLOBAL DEFAULT    5 mt_gpio_init
 00206df5    24 FUNC    LOCAL  DEFAULT    5 uart_send
 00206e0d     4 FUNC    LOCAL  DEFAULT    5 uart_recv
 00206e11    88 FUNC    GLOBAL DEFAULT    5 uart_handshake_init
 00206e69   240 FUNC    GLOBAL DEFAULT    5 uart_handshake
 00206f59    82 FUNC    LOCAL  DEFAULT    5 usb_recv
 00206fab    22 FUNC    LOCAL  DEFAULT    5 usb_send
 00206fc1   444 FUNC    GLOBAL DEFAULT    5 usb_handshake
 0020717d   376 FUNC    GLOBAL DEFAULT    5 i2c_set_speed
 002072f5     2 FUNC    GLOBAL DEFAULT    5 _i2c_dump_info
 002072f7   420 FUNC    GLOBAL DEFAULT    5 _i2c_write_reg
 0020749b   172 FUNC    GLOBAL DEFAULT    5 _i2c_get_transfer_len
 00207547   296 FUNC    GLOBAL DEFAULT    5 _i2c_transfer_interface
 0020766f    26 FUNC    GLOBAL DEFAULT    5 _i2c_check_para
 00207689   132 FUNC    GLOBAL DEFAULT    5 _config_mt_i2c
 0020770d    62 FUNC    GLOBAL DEFAULT    5 i2c_write
 0020774b    68 FUNC    GLOBAL DEFAULT    5 i2c_write_read
 00207791    32 FUNC    GLOBAL DEFAULT    5 i2c_hw_init
 00207859    76 FUNC    GLOBAL DEFAULT    5 mtk_kpd_gpios_get
 002078a5   114 FUNC    GLOBAL DEFAULT    5 mtk_kpd_gpio_set
 00207919    36 FUNC    GLOBAL DEFAULT    5 set_kpd_pmic_mode
 0020793d     2 FUNC    GLOBAL DEFAULT    5 enable_PMIC_kpd_clock
 00207941    60 FUNC    GLOBAL DEFAULT    5 mtk_detect_key
 0020797d    42 FUNC    GLOBAL DEFAULT    5 mtk_detect_dl_keys
 002079a9    56 FUNC    LOCAL  DEFAULT    5 wait_for_discon.isra.0.co
 002079e1   812 FUNC    LOCAL  DEFAULT    5 bldr_cmd_handler
 00207d0d    64 FUNC    GLOBAL DEFAULT    5 bldr_load_part
 00207d4d    92 FUNC    GLOBAL DEFAULT    5 bldr_load_bootimg_header
 00207da9    84 FUNC    GLOBAL DEFAULT    5 bldr_load_tee_part
 00207dfd    96 FUNC    GLOBAL DEFAULT    5 bldr_jump
 00207e5d    96 FUNC    GLOBAL DEFAULT    5 bldr_jump64
 00207ebd   780 FUNC    GLOBAL DEFAULT    5 main
 002081c9  1044 FUNC    GLOBAL DEFAULT    5 complex_mem_test
 002085dd   308 FUNC    GLOBAL DEFAULT    5 mt_mem_init
 00208711   122 FUNC    LOCAL  DEFAULT    5 mmc_switch_part
 0020878b    36 FUNC    LOCAL  DEFAULT    5 mmc_bwrite
 002087af    36 FUNC    LOCAL  DEFAULT    5 mmc_bread
 002087d5   588 FUNC    GLOBAL DEFAULT    5 mmc_init_device
 00208a21   240 FUNC    GLOBAL DEFAULT    5 mmc_get_device_id
 00208b11    58 FUNC    LOCAL  DEFAULT    5 unstuff_bits
 00208b4d    16 FUNC    GLOBAL DEFAULT    5 mmc_get_host
 00208b5d    20 FUNC    GLOBAL DEFAULT    5 mmc_get_card
 00208b71    30 FUNC    GLOBAL DEFAULT    5 mmc_cmd
 00208b8f    60 FUNC    LOCAL  DEFAULT    5 mmc_app_cmd
 00208bcb    78 FUNC    LOCAL  DEFAULT    5 mmc_send_app_op_cond
 00208c19    68 FUNC    LOCAL  DEFAULT    5 mmc_send_if_cond
 00208c5d    74 FUNC    LOCAL  DEFAULT    5 mmc_send_op_cond
 00208ca9   380 FUNC    LOCAL  DEFAULT    5 mmc_read_ext_csd.part.1
 00208e29   160 FUNC    LOCAL  DEFAULT    5 mmc_sd_switch.isra.0.cons
 00208ec9    26 FUNC    GLOBAL DEFAULT    5 mmc_select_voltage
 00208ee3    32 FUNC    GLOBAL DEFAULT    5 mmc_go_idle
 00208f03    44 FUNC    GLOBAL DEFAULT    5 mmc_send_status
 00208f2f    38 FUNC    GLOBAL DEFAULT    5 mmc_select_card
 00208f55    86 FUNC    GLOBAL DEFAULT    5 mmc_send_relative_addr
 00208fad   112 FUNC    GLOBAL DEFAULT    5 mmc_switch
 0020901d    42 FUNC    GLOBAL DEFAULT    5 mmc_switch_hs
 00209047    16 FUNC    GLOBAL DEFAULT    5 mmc_read_ext_csd
 00209057    48 FUNC    GLOBAL DEFAULT    5 mmc_set_clock
 00209087    38 FUNC    GLOBAL DEFAULT    5 mmc_set_card_detect
 002090ad    50 FUNC    GLOBAL DEFAULT    5 mmc_set_blk_length
 002090df   314 FUNC    GLOBAL DEFAULT    5 mmc_set_bus_width
 00209219   172 FUNC    GLOBAL DEFAULT    5 mmc_dev_bread
 002092c5    92 FUNC    GLOBAL DEFAULT    5 mmc_block_read
 00209321   284 FUNC    GLOBAL DEFAULT    5 mmc_block_write
 0020943d    64 FUNC    GLOBAL DEFAULT    5 mmc_stuff_buff
 0020947d   164 FUNC    GLOBAL DEFAULT    5 mmc_get_sandisk_fwid
 00209521  1400 FUNC    GLOBAL DEFAULT    5 mmc_init_mem_card
 00209a99   154 FUNC    GLOBAL DEFAULT    5 mmc_init_card
 00209b33    36 FUNC    GLOBAL DEFAULT    5 mmc_init_host
 00209b59    68 FUNC    GLOBAL DEFAULT    5 mmc_init
 00209b9d   160 FUNC    GLOBAL DEFAULT    5 msdc_set_smt
 00209c3d   156 FUNC    GLOBAL DEFAULT    5 msdc_set_tdsel
 00209cd9   140 FUNC    GLOBAL DEFAULT    5 msdc_set_rdsel
 00209d65   464 FUNC    GLOBAL DEFAULT    5 msdc_set_driving
 00209f35     2 FUNC    GLOBAL DEFAULT    5 msdc_clock
 00209f37    52 FUNC    GLOBAL DEFAULT    5 msdc_clr_fifo
 00209f6b    48 FUNC    GLOBAL DEFAULT    5 msdc_reset
 00209f9b    40 FUNC    GLOBAL DEFAULT    5 msdc_abort
 00209fc5   476 FUNC    GLOBAL DEFAULT    5 msdc_config_pin
 0020a1a1    74 FUNC    GLOBAL DEFAULT    5 msdc_set_startbit
 0020a1ed   852 FUNC    GLOBAL DEFAULT    5 msdc_set_smpl
 0020a541   152 FUNC    GLOBAL DEFAULT    5 msdc_set_timeout
 0020a5d9    10 FUNC    GLOBAL DEFAULT    5 msdc_set_blklen
 0020a5e3    28 FUNC    GLOBAL DEFAULT    5 msdc_set_blknum
 0020a601    60 FUNC    GLOBAL DEFAULT    5 msdc_set_dmode
 0020a63d     6 FUNC    GLOBAL DEFAULT    5 msdc_set_pio_bits
 0020a645   384 FUNC    GLOBAL DEFAULT    5 msdc_send_cmd
 0020a7c5   168 FUNC    GLOBAL DEFAULT    5 msdc_wait_rsp
 0020a86d    14 FUNC    GLOBAL DEFAULT    5 msdc_intr_unmask
 0020a87b    56 FUNC    GLOBAL DEFAULT    5 msdc_dma_send_sandisk_fwi
 0020a8b3   186 FUNC    GLOBAL DEFAULT    5 msdc_pio_read
 0020a96d   156 FUNC    GLOBAL DEFAULT    5 msdc_pio_write
 0020aa09    48 FUNC    GLOBAL DEFAULT    5 msdc_config_clksrc
 0020aa39   356 FUNC    GLOBAL DEFAULT    5 msdc_config_clock
 0020ab9d    36 FUNC    GLOBAL DEFAULT    5 msdc_config_bus
 0020abc1    84 FUNC    GLOBAL DEFAULT    5 msdc_set_host_pwr
 0020ac15    58 FUNC    GLOBAL DEFAULT    5 msdc_host_power
 0020ac4f     2 FUNC    GLOBAL DEFAULT    5 msdc_card_power
 0020ac51    48 FUNC    GLOBAL DEFAULT    5 msdc_power
 0020ac81     6 FUNC    GLOBAL DEFAULT    5 msdc_reset_tune_counter
 0020ac89   608 FUNC    GLOBAL DEFAULT    5 msdc_tune_cmdrsp
 0020aee9    88 FUNC    GLOBAL DEFAULT    5 msdc_cmd
 0020af41    56 FUNC    GLOBAL DEFAULT    5 msdc_cmd_stop
 0020af79   110 FUNC    GLOBAL DEFAULT    5 msdc_abort_handler
 0020afe9   216 FUNC    GLOBAL DEFAULT    5 msdc_pio_bread
 0020b0c1   192 FUNC    GLOBAL DEFAULT    5 msdc_pio_bwrite
 0020b181   620 FUNC    GLOBAL DEFAULT    5 msdc_tune_bread
 0020b3ed   640 FUNC    GLOBAL DEFAULT    5 msdc_tune_read
 0020b66d   256 FUNC    GLOBAL DEFAULT    5 msdc_tune_rw_hs400
 0020b76d   444 FUNC    GLOBAL DEFAULT    5 msdc_tune_bwrite
 0020b929  1108 FUNC    GLOBAL DEFAULT    5 msdc_init
 0020bd81    64 FUNC    GLOBAL DEFAULT    5 msdc_init_gpd_bd
 0020bdc1     2 FUNC    GLOBAL DEFAULT    5 msdc_flush_membuf
 0020bdc3    24 FUNC    GLOBAL DEFAULT    5 msdc_cal_checksum
 0020bddb    88 FUNC    GLOBAL DEFAULT    5 msdc_alloc_gpd
 0020be33    98 FUNC    GLOBAL DEFAULT    5 msdc_alloc_bd
 0020be95    48 FUNC    GLOBAL DEFAULT    5 msdc_queue_bd
 0020bec5    66 FUNC    GLOBAL DEFAULT    5 msdc_add_gpd
 0020bf07    18 FUNC    GLOBAL DEFAULT    5 msdc_reset_gpd
 0020bf19    92 FUNC    GLOBAL DEFAULT    5 msdc_sg_init
 0020bf75    78 FUNC    GLOBAL DEFAULT    5 msdc_dma_init
 0020bfc3   528 FUNC    GLOBAL DEFAULT    5 msdc_dma_config
 0020c1d3    54 FUNC    GLOBAL DEFAULT    5 msdc_dma_start
